instructor,class_name,year,month,year_month,total_classes_taught,total_revenue,avg_revenue_per_class,avg_attendance_per_class
Instructor_1,ADV.  Choreography (Ages 13+),2023,November,2023-11,1,202.68333333333334,202.68333333333334,14.0
Instructor_1,ADV.  Choreography (Ages 13+),2023,October,2023-10,1,264.48333333333335,264.48333333333335,18.0
Instructor_1,ADV.  Choreography (Ages 13+),2024,February,2024-02,2,413.04583333333335,206.52291666666667,12.5
Instructor_1,ADV.  Choreography (Ages 13+),2024,June,2024-06,1,140.56666666666666,140.56666666666666,10.0
Instructor_1,ADV.  Choreography (Ages 13+),2024,March,2024-03,1,228.55416666666667,228.55416666666667,14.0
Instructor_1,ADV.  Choreography (Ages 13+),2024,October,2024-10,1,120.8,120.8,8.0
Instructor_1,ADV.  Choreography (Ages 13+),2025,January,2025-01,1,232.81666666666666,232.81666666666666,15.0
Instructor_1,BEG. Choreography (Ages 13+),2023,April,2023-04,2,963.75,481.875,31.0
Instructor_1,BEG. Choreography (Ages 13+),2023,August,2023-08,3,1447.1833333333334,482.39444444444445,28.666666666666668
Instructor_1,BEG. Choreography (Ages 13+),2023,December,2023-12,3,848.5166666666667,282.8388888888889,16.333333333333332
Instructor_1,BEG. Choreography (Ages 13+),2023,February,2023-02,2,739.75,369.875,21.0
Instructor_1,BEG. Choreography (Ages 13+),2023,January,2023-01,3,1268.25,422.75,22.333333333333332
Instructor_1,BEG. Choreography (Ages 13+),2023,July,2023-07,2,952.1166666666667,476.05833333333334,29.5
Instructor_1,BEG. Choreography (Ages 13+),2023,June,2023-06,2,960.4333333333334,480.2166666666667,29.5
Instructor_1,BEG. Choreography (Ages 13+),2023,March,2023-03,3,854.0,284.6666666666667,17.333333333333332
Instructor_1,BEG. Choreography (Ages 13+),2023,May,2023-05,3,1474.1,491.3666666666666,28.333333333333332
Instructor_1,BEG. Choreography (Ages 13+),2023,November,2023-11,3,1462.4333333333334,487.4777777777778,26.666666666666668
Instructor_1,BEG. Choreography (Ages 13+),2023,October,2023-10,2,829.8333333333333,414.91666666666663,24.0
Instructor_1,BEG. Choreography (Ages 13+),2023,September,2023-09,2,998.5,499.25,29.0
Instructor_1,BEG. Choreography (Ages 13+),2024,April,2024-04,2,1000.8666666666666,500.4333333333333,36.0
Instructor_1,BEG. Choreography (Ages 13+),2024,August,2024-08,1,568.5333333333333,568.5333333333333,31.0
Instructor_1,BEG. Choreography (Ages 13+),2024,December,2024-12,2,1114.3333333333333,557.1666666666666,33.5
Instructor_1,BEG. Choreography (Ages 13+),2024,February,2024-02,2,1305.7166666666667,652.8583333333333,44.0
Instructor_1,BEG. Choreography (Ages 13+),2024,January,2024-01,2,1386.2333333333331,693.1166666666666,41.5
Instructor_1,BEG. Choreography (Ages 13+),2024,July,2024-07,3,2343.4541666666664,781.1513888888888,41.333333333333336
Instructor_1,BEG. Choreography (Ages 13+),2024,June,2024-06,3,1651.9333333333334,550.6444444444445,28.0
Instructor_1,BEG. Choreography (Ages 13+),2024,March,2024-03,3,1616.975,538.9916666666667,36.333333333333336
Instructor_1,BEG. Choreography (Ages 13+),2024,May,2024-05,2,1257.6083333333331,628.8041666666666,32.5
Instructor_1,BEG. Choreography (Ages 13+),2024,November,2024-11,2,1418.5666666666666,709.2833333333333,38.0
Instructor_1,BEG. Choreography (Ages 13+),2024,October,2024-10,2,1232.7333333333333,616.3666666666667,33.5
Instructor_1,BEG. Choreography (Ages 13+),2024,September,2024-09,2,1191.2166666666667,595.6083333333333,30.0
Instructor_1,BEG. Choreography (Ages 13+),2025,February,2025-02,4,2183.25,545.8125,38.0
Instructor_1,BEG. Choreography (Ages 13+),2025,January,2025-01,4,2626.0,656.5,37.25
Instructor_1,BEG. Choreography (Ages 13+),2025,March,2025-03,7,3221.2833333333333,460.18333333333334,28.0
Instructor_1,Hip Hop 1A (5 - 7),2023,April,2023-04,2,234.09,117.045,6.0
Instructor_1,Hip Hop 1A (5 - 7),2023,December,2023-12,3,172.8,57.6,2.6666666666666665
Instructor_1,Hip Hop 1A (5 - 7),2023,February,2023-02,4,402.3,100.575,6.0
Instructor_1,Hip Hop 1A (5 - 7),2023,January,2023-01,5,511.235,102.247,4.6
Instructor_1,Hip Hop 1A (5 - 7),2023,June,2023-06,3,583.2,194.4,10.0
Instructor_1,Hip Hop 1A (5 - 7),2023,March,2023-03,4,478.98,119.745,6.0
Instructor_1,Hip Hop 1A (5 - 7),2023,May,2023-05,5,537.84,107.56800000000001,5.6
Instructor_1,Hip Hop 1A (5 - 7),2023,November,2023-11,3,178.20000000000002,59.400000000000006,3.0
Instructor_1,Hip Hop 1A (5 - 7),2023,October,2023-10,4,270.0,67.5,3.75
Instructor_1,Hip Hop 1A (5 - 7),2023,September,2023-09,4,259.20000000000005,64.80000000000001,3.5
Instructor_1,Hip Hop 1A (9 - 13),2023,December,2023-12,3,151.20000000000002,50.400000000000006,2.3333333333333335
Instructor_1,Hip Hop 1A (9 - 13),2023,November,2023-11,3,172.8,57.6,2.6666666666666665
Instructor_1,Hip Hop 1A (9 - 13),2023,October,2023-10,2,86.4,43.2,2.0
Instructor_1,Hip Hop 1A (9 - 13),2023,September,2023-09,3,151.20000000000002,50.400000000000006,2.6666666666666665
Instructor_1,INT. Choreography (Ages 13+),2023,April,2023-04,2,316.75,158.375,10.0
Instructor_1,INT. Choreography (Ages 13+),2023,August,2023-08,1,275.01666666666665,275.01666666666665,17.0
Instructor_1,INT. Choreography (Ages 13+),2023,February,2023-02,2,335.25,167.625,10.0
Instructor_1,INT. Choreography (Ages 13+),2023,January,2023-01,2,231.25,115.625,6.5
Instructor_1,INT. Choreography (Ages 13+),2023,July,2023-07,2,623.3333333333333,311.66666666666663,18.0
Instructor_1,INT. Choreography (Ages 13+),2023,June,2023-06,3,756.5166666666667,252.17222222222222,13.666666666666666
Instructor_1,INT. Choreography (Ages 13+),2023,March,2023-03,2,316.5,158.25,12.5
Instructor_1,INT. Choreography (Ages 13+),2023,May,2023-05,2,420.8333333333333,210.41666666666666,14.0
Instructor_1,INT. Choreography (Ages 13+),2023,November,2023-11,3,949.45,316.48333333333335,19.333333333333332
Instructor_1,INT. Choreography (Ages 13+),2023,October,2023-10,2,534.7333333333333,267.3666666666667,16.5
Instructor_1,INT. Choreography (Ages 13+),2023,September,2023-09,2,1201.3333333333335,600.6666666666667,31.0
Instructor_10,ADV.  Choreography (Ages 13+),2023,April,2023-04,1,398.5,398.5,22.0
Instructor_10,ADV.  Choreography (Ages 13+),2023,February,2023-02,1,216.0,216.0,12.0
Instructor_10,ADV.  Choreography (Ages 13+),2023,January,2023-01,1,104.0,104.0,8.0
Instructor_10,ADV.  Choreography (Ages 13+),2023,March,2023-03,3,458.5,152.83333333333334,10.333333333333334
Instructor_10,INT. Choreography (Ages 13+),2024,December,2024-12,2,452.575,226.2875,13.5
Instructor_10,INT. Choreography (Ages 13+),2024,November,2024-11,1,209.55,209.55,12.0
Instructor_10,INT. Choreography (Ages 13+),2025,February,2025-02,2,524.8916666666667,262.4458333333333,17.0
Instructor_10,INT. Choreography (Ages 13+),2025,January,2025-01,2,492.3666666666667,246.18333333333334,15.5
Instructor_10,INT. Choreography (Ages 13+),2025,March,2025-03,2,453.625,226.8125,17.5
Instructor_10,OOS Gives Back ,2024,April,2024-04,1,450.0,450.0,18.0
Instructor_100,ADV.  Choreography (Ages 13+),2023,July,2023-07,1,336.31666666666666,336.31666666666666,16.0
Instructor_101,ADV.  Choreography (Ages 13+),2023,June,2023-06,2,629.2,314.6,21.0
Instructor_101,ADV.  Choreography (Ages 13+),2023,May,2023-05,1,458.93333333333334,458.93333333333334,27.0
Instructor_101,INT. Choreography (Ages 13+),2023,April,2023-04,1,344.25,344.25,19.0
Instructor_101,INT. Choreography (Ages 13+),2023,February,2023-02,2,462.75,231.375,14.5
Instructor_101,INT. Choreography (Ages 13+),2023,January,2023-01,2,690.25,345.125,18.5
Instructor_101,INT. Choreography (Ages 13+),2023,March,2023-03,1,470.0,470.0,24.0
Instructor_102,ADV.  Choreography (Ages 13+),2023,January,2023-01,1,152.25,152.25,10.0
Instructor_102,BEG. Choreography (Ages 13+),2023,April,2023-04,3,956.5,318.8333333333333,20.333333333333332
Instructor_102,BEG. Choreography (Ages 13+),2023,January,2023-01,1,257.0,257.0,13.0
Instructor_102,BEG. Choreography (Ages 13+),2023,June,2023-06,2,408.9666666666667,204.48333333333335,16.0
Instructor_102,BEG. Choreography (Ages 13+),2023,May,2023-05,2,324.1166666666667,162.05833333333334,13.0
Instructor_102,INT. Choreography (Ages 13+),2023,May,2023-05,1,269.71666666666664,269.71666666666664,18.0
Instructor_103,INT. Choreography (Ages 13+),2023,April,2023-04,2,845.25,422.625,25.5
Instructor_103,INT. Choreography (Ages 13+),2023,February,2023-02,2,356.75,178.375,12.5
Instructor_103,INT. Choreography (Ages 13+),2023,January,2023-01,2,443.75,221.875,13.5
Instructor_103,INT. Choreography (Ages 13+),2023,March,2023-03,2,509.0,254.5,17.0
Instructor_103,KPOP Dance Covers (ages 13+),2023,March,2023-03,1,1141.25,1141.25,51.0
Instructor_103,KPOP Original Choreo (ages 13+),2023,May,2023-05,1,251.3,251.3,14.0
Instructor_104,BEG. Choreography (Ages 13+),2023,February,2023-02,2,231.5,115.75,11.0
Instructor_104,BEG. Choreography (Ages 13+),2023,January,2023-01,2,141.0,70.5,6.5
Instructor_104,BEG. Choreography (Ages 13+),2023,March,2023-03,2,352.0,176.0,13.0
Instructor_105,KRUMP (ages 13+),2023,March,2023-03,1,42.5,42.5,3.0
Instructor_106,Open Session (Ages 13+),2024,December,2024-12,2,10.0,5.0,1.0
Instructor_106,Open Session (Ages 13+),2024,November,2024-11,3,15.0,5.0,1.0
Instructor_106,Open Session (Ages 13+),2024,September,2024-09,5,45.0,9.0,2.0
Instructor_106,Open Session (Ages 13+),2025,January,2025-01,2,15.0,7.5,1.5
Instructor_106,Open Session (Ages 13+),2025,March,2025-03,2,15.0,7.5,1.5
Instructor_107,GROOV3: Hip Hop Workout (Ages 13+),2025,March,2025-03,2,348.375,174.1875,12.0
Instructor_108,GROOV3: Hip Hop Workout (Ages 13+),2025,February,2025-02,1,522.875,522.875,25.0
Instructor_109,Hip Hop 1A (5 - 7),2025,March,2025-03,1,0.0,0.0,2.0
Instructor_109,Kids Performance Workshop (Ages 8 -13) ,2025,March,2025-03,1,120.0,120.0,3.0
Instructor_11,ADV.  Choreography (Ages 13+),2023,April,2023-04,2,577.0,288.5,16.5
Instructor_11,ADV.  Choreography (Ages 13+),2023,August,2023-08,3,1369.6166666666666,456.53888888888883,26.666666666666668
Instructor_11,ADV.  Choreography (Ages 13+),2023,December,2023-12,1,309.5,309.5,21.0
Instructor_11,ADV.  Choreography (Ages 13+),2023,February,2023-02,2,626.5,313.25,17.0
Instructor_11,ADV.  Choreography (Ages 13+),2023,January,2023-01,2,545.5,272.75,16.5
Instructor_11,ADV.  Choreography (Ages 13+),2023,July,2023-07,1,459.45,459.45,26.0
Instructor_11,ADV.  Choreography (Ages 13+),2023,June,2023-06,2,919.65,459.825,25.5
Instructor_11,ADV.  Choreography (Ages 13+),2023,March,2023-03,2,725.5,362.75,20.0
Instructor_11,ADV.  Choreography (Ages 13+),2023,May,2023-05,2,795.9333333333334,397.9666666666667,24.0
Instructor_11,ADV.  Choreography (Ages 13+),2023,November,2023-11,3,1385.9833333333333,461.99444444444447,28.333333333333332
Instructor_11,ADV.  Choreography (Ages 13+),2023,October,2023-10,2,603.8666666666667,301.93333333333334,18.0
Instructor_11,ADV.  Choreography (Ages 13+),2023,September,2023-09,1,402.4,402.4,22.0
Instructor_11,ADV.  Choreography (Ages 13+),2024,September,2024-09,1,808.6666666666666,808.6666666666666,41.0
